,group_id,category_id,category.name,category.shortname,city,country,link,group_name,events
0,6388,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/alternative-health-nyc/,Alternative Health NYC,[]
1,6510,4,community/environment,community-environment,New York,US,https://www.meetup.com/alternative-energy-meetup/,Alternative Energy Meetup,[]
2,8458,26,pets/animals,pets-animals,New York,US,https://www.meetup.com/Animals/,NYC Animal Rights,[]
3,8940,29,sci-fi/fantasy,sci-fi-fantasy,New York,US,https://www.meetup.com/NYC-Anime/,The New York City Anime Group,[]
4,10104,26,pets/animals,pets-animals,New York,US,https://www.meetup.com/NYC-Pitbull/,NYC Pit Bull Group,[]
5,10359,16,language/ethnic identity,language,New York,US,https://www.meetup.com/NYCArabicClub/,NYC International Arabic Language & Culture Club,[]
6,12111,16,language/ethnic identity,language,New York,US,https://www.meetup.com/NYCASL/,The New York City American Sign Language Meetup Group,[]
7,12542,22,new age/spirituality,new-age-spirituality,New York,US,https://www.meetup.com/nyc-astrology/,The New York City Astrology Meetup,[]
8,12907,28,religion/beliefs,religion-beliefs,New York,US,https://www.meetup.com/atheists-24/,New York City Atheists Meetings,[]
9,14573,13,movements/politics,government-politics,New York,US,https://www.meetup.com/aynrand-8/,The New York City Ayn Rand Group,[]
10,15217,31,socializing,socializing,New York,US,https://www.meetup.com/TheGreatNYCBackgammonGroup/,The New York City Backgammon Meetup Group,[]
11,15324,23,outdoors/adventure,outdoors-adventure,Chicago,US,https://www.meetup.com/Chicago-Backpackers/,The Chicago Backpackers Meetup Group,[]
12,16620,26,pets/animals,pets-animals,New York,US,https://www.meetup.com/basenji-nyc/,New York City Basenji Meetup,[]
13,17183,31,socializing,socializing,New York,US,https://www.meetup.com/bbfp-68/,The NYC Big Beautiful Fun People Meetup Group,[]
14,17921,26,pets/animals,pets-animals,New York,US,https://www.meetup.com/beagle-pack/,The Beagle Pack!,[]
15,18843,5,dancing,dancing,New York,US,https://www.meetup.com/NYCBellydancers/,NYC Bellydance Meetup!,[]
16,20517,33,support,support,New York,US,https://www.meetup.com/bipolar-10/,The NYC Bipolar Meetup Group,[]
17,22211,11,games,games,Chicago,US,https://www.meetup.com/chicagogames/,Chicago Game Lovers,[]
18,22253,11,games,games,New York,US,https://www.meetup.com/nyc-boardgames/,New York City Boardgames & Cardgames Group,[]
19,23713,18,book clubs,book-clubs,New York,US,https://www.meetup.com/bookcrossing-30/,The NYC Bookcrossing Meetup,['244512167']
20,24765,26,pets/animals,pets-animals,Chicago,US,https://www.meetup.com/ChicagoBostonTerriers/,The Chicago Boston Terrier Meetup Group,[]
21,25709,16,language/ethnic identity,language,Chicago,US,https://www.meetup.com/Socialize-Network-and-Connect/,"Socialize, Network, and Connect",[]
22,25727,16,language/ethnic identity,language,New York,US,https://www.meetup.com/NYC-BraziliansandBrazilianCulture/,Brazilians and Brazilian Culture in NYC Meetup,[]
23,26154,28,religion/beliefs,religion-beliefs,Chicago,US,https://www.meetup.com/chicago-freethought/,The Chicago Freethinkers Meetup Group,[]
24,26217,28,religion/beliefs,religion-beliefs,New York,US,https://www.meetup.com/NYCBrights/,The New York City Brights,[]
25,26415,32,sports/recreation,sports-recreation,New York,US,https://www.meetup.com/NYC-British-Expats/,Big Apple Brits/New York City British Expat Meetup Group,[]
26,26434,16,language/ethnic identity,language,San Francisco,US,https://www.meetup.com/brit-92/,The San Francisco Bay Area British and Irish Social Club,[]
27,29051,16,language/ethnic identity,language,Chicago,US,https://www.meetup.com/canadian-37/,The Chicago Expat Canadian Meetup Group,[]
28,29074,31,socializing,socializing,New York,US,https://www.meetup.com/NYCCanadians/,The New York City Expat Canadian Meetup Group,[]
29,30077,31,socializing,socializing,New York,US,https://www.meetup.com/casino-4/,The New York City Casino Gambling Meetup Group,[]
30,30873,10,food/drink,food-drink,New York,US,https://www.meetup.com/Celiac/,New York City Celiac Disease Meetup,[]
